,title,reviewer,overall,story,acting,music,rewatch
8,The Secret Female Ninja,Cheer,2.0,1.5,1.0,1.0,1.0
9,Hanzawa Naoki,Cheer,9.0,9.0,9.0,8.0,7.0
10,The Yellow Sea,Cheer,8.0,8.0,10,8.0,7.0
11,Hara-Kiri: Death of a Samurai,Cheer,8.0,8.0,9.0,8.0,7.0
12,Tetsuo: The Iron Man,Cheer,8.0,8.5,8.0,8.0,7.0
13,MOZU Season 2 - Maboroshi no Tsubasa,Cheer,6.0,5.5,6.5,7.0,3.0
14,Infernal Affairs III,Cheer,7.0,8.0,9.0,8.0,5.0
0,God's Quiz Season 4,Cheer,6.5,6.5,7.0,5.0,3.0
1,Guinea Pig 2: Flower of Flesh & Blood,Cheer,6.0,1.5,5.0,3.0,6.0
2,Milocrorze: A Love Story,Cheer,8.0,7.5,9.0,8.0,7.0
3,Khun Chai Puttipat,Cheer,5.5,6.0,6.0,6.0,5.0
4,Infernal Affairs II,Cheer,8.0,8.0,8.0,8.0,6.0
5,Guinea Pig: Devil's Experiment,Cheer,5.0,1.0,3.0,4.0,4.0
6,Tokyo Tribe,Cheer,8.5,8.0,8.5,8.5,8.0
7,Love at Seventh Sight,Cheer,3.0,3.0,2.0,5.0,1.0
8,Namonaki Doku,Cheer,7.0,6.0,7.0,10,3.0
9,Big Match,Cheer,6.0,6.0,7.0,7.0,5.0
10,Autumn's Concerto,Cheer,10,10,9.0,9.0,9.0
11,Goemon,Cheer,7.0,7.0,9.0,7.0,7.0
12,The Suspect,Cheer,7.0,6.0,7.5,6.0,4.0
13,Kiki's Delivery Service,Cheer,6.5,6.0,6.0,6.5,5.0
14,Guinea Pig 3: Shudder! The Man Who Doesn't Die,Cheer,5.5,4.0,5.5,3.0,5.0
0,Shark,Cheer,6.0,5.5,8.0,9.0,5.0
1,For Love's Sake,Cheer,3.5,3.0,9.0,1.0,1.0
2,The Chef of South Polar,Cheer,7.5,7.0,8.0,6.0,5.0
0,Shark,Cheer,6.0,5.5,8.0,9.0,5.0
1,For Love's Sake,Cheer,3.5,3.0,9.0,1.0,1.0
2,The Chef of South Polar,Cheer,7.5,7.0,8.0,6.0,5.0
0,I Hear Your Voice,HeidiLyon,10,10,10,10,10
1,"Spring, Summer, Autumn, Winter... and Spring",HeidiLyon,10,10,9.0,9.0,10
2,Monstar,HeidiLyon,8.0,7.0,9.0,10,8.0
3,Can't Live Without Robbery,HeidiLyon,8.0,7.0,8.0,6.0,9.0
4,The Righteous Thief,HeidiLyon,9.0,10,10,8.0,9.0
5,To The Beautiful You,HeidiLyon,8.0,7.0,9.0,8.0,7.0
6,My Sassy Girl,HeidiLyon,9.0,9.0,10,8.0,9.0
7,Hong Gil Dong,HeidiLyon,9.0,9.0,10,8.0,8.0
8,The Heirs,HeidiLyon,8.0,7.0,9.0,9.0,6.0
9,"That Winter, The Wind Blows",HeidiLyon,9.0,9.0,10,9.0,8.0
0,The King in Love,manicmuse,8.0,8.0,7.0,8.0,7.0
1,My Lovely Sam Soon,manicmuse,10,10,9.0,7.0,10
2,Queen for Seven Days,manicmuse,10,9.5,10,9.5,10
3,Padam Padam,manicmuse,9.0,9.0,10,8.0,8.0
4,The Master's Sun,manicmuse,9.0,8.0,10,7.0,9.0
5,Introverted Boss,manicmuse,8.0,7.0,9.0,8.0,7.0
6,Where Stars Land,manicmuse,8.0,8.0,8.5,7.0,7.5
7,Another Miss Oh,manicmuse,10,10,10,10,10
8,Hotel King,manicmuse,9.5,9.0,9.5,8.0,9.0
9,Flower Boy Ramen Shop,manicmuse,8.0,5.0,9.0,7.0,9.0
10,Lucky Romance,manicmuse,10,8.0,10,8.5,10
11,Lovely Horribly,manicmuse,4.0,3.0,5.0,5.0,2.0
12,"I'm Sorry, I Love You",manicmuse,8.0,8.0,10,8.0,7.0
13,The Legend of the Blue Sea,manicmuse,7.5,7.0,9.0,5.0,6.0
14,Itaewon Class,manicmuse,6.5,6.0,8.0,7.5,5.0
0,Last Scandal,manicmuse,8.5,8.0,9.0,7.0,8.0
1,The Smile Has Left Your Eyes,manicmuse,10,10,10,10,10
2,Terius Behind Me,manicmuse,9.5,9.0,10,8.0,9.0
3,Fated to Love You,manicmuse,9.5,9.0,9.5,8.0,9.0
4,My Secret Romance,manicmuse,7.0,5.0,8.0,4.0,5.0
5,When the Weather Is Fine,manicmuse,9.0,8.5,10,9.0,8.0
6,The Secret Life of My Secretary,manicmuse,8.0,7.5,9.0,7.0,8.0
7,"King of Baking, Kim Tak Goo",manicmuse,9.0,9.0,10,8.0,7.0
8,The Color of a Woman,manicmuse,5.0,6.0,5.0,8.0,4.0
9,Jugglers,manicmuse,6.5,5.0,8.0,8.0,5.0
10,I'm Not a Robot,manicmuse,10,9.0,10,9.0,10
11,Come and Hug Me,manicmuse,6.5,5.0,9.0,7.0,5.0
12,About Time,manicmuse,6.5,6.0,8.5,7.0,4.5
13,Il Mare,manicmuse,8.0,10,7.0,7.0,9.0
14,Chocolate,manicmuse,7.5,7.0,9.0,8.0,5.0
0,The Undateables,manicmuse,5.0,4.0,6.0,8.0,2.0
1,The Greatest Love,manicmuse,8.5,8.0,10,8.0,8.0
2,King2Hearts,manicmuse,10,10,10,9.0,10
3,The Nokdu Flower,manicmuse,10,10,10,9.0,9.5
4,Scent of a Woman,manicmuse,9.5,8.0,10,5.0,8.0
5,I Have a Lover,manicmuse,7.5,7.0,9.0,9.5,6.0
6,"That Winter, The Wind Blows",manicmuse,9.5,9.5,9.5,8.5,10
7,Moon Embracing the Sun,manicmuse,7.0,8.0,8.0,7.0,5.0
8,A Tale of Two Sisters,manicmuse,10,10,10,10,10
9,Biscuit Teacher and Star Candy,manicmuse,7.0,7.0,7.0,6.0,6.0
10,Strong Woman Do Bong Soon,manicmuse,9.0,7.0,9.0,8.0,9.5
11,9 End 2 Outs,manicmuse,9.0,9.0,9.0,5.0,9.0
12,Cinderella and the Four Knights,manicmuse,4.0,2.0,6.0,7.0,1.0
13,Descendants of the Sun,manicmuse,6.5,4.0,8.0,6.5,5.0
14,Jealousy Incarnate,manicmuse,10,9.5,10,10,10
0,Jang Ok Jung,manicmuse,9.0,10,9.0,8.0,8.0
1,Hello Monster,manicmuse,8.5,9.0,10,6.0,9.0
2,Suicide Circle,manicmuse,8.0,8.0,8.0,10,9.0
3,My Sassy Girl,manicmuse,9.0,9.0,9.0,7.0,10
4,A Piece of Your Mind,manicmuse,5.5,4.0,9.0,7.0,3.5
5,Dal Ja's Spring,manicmuse,9.0,7.5,10,8.0,8.0
6,Let Me Introduce Her,manicmuse,6.0,6.0,7.5,6.0,5.0
7,Oh My Venus,manicmuse,7.5,4.0,9.0,7.5,7.0
8,The King of Dramas,manicmuse,8.0,9.0,9.0,7.5,7.0
9,Gu Family Book,manicmuse,9.0,8.0,9.0,7.0,8.0
10,Secret Boutique,manicmuse,8.0,8.0,8.0,7.0,6.0
11,Encounter,manicmuse,8.0,7.0,9.0,9.0,7.0
12,Wok of Love,manicmuse,9.0,7.0,10,8.0,10
13,Money Flower,manicmuse,10,10,10,10,9.0
14,The Package,manicmuse,8.5,8.0,9.0,9.0,10
0,Just Between Lovers,manicmuse,9.5,9.5,10,9.0,9.0
1,"Marriage, Not Dating",manicmuse,9.5,9.0,9.5,9.5,9.0
2,Coffee Prince,manicmuse,10,10,10,8.0,10
3,What Happened in Bali,manicmuse,6.5,5.0,8.0,7.0,5.0
4,"Me too, Flower!",manicmuse,8.0,8.0,8.0,7.5,7.0
5,The Beauty Inside,manicmuse,5.5,4.5,8.0,8.0,2.0
6,Woman with a Suitcase,manicmuse,7.0,5.0,8.0,7.5,6.0
7,Pasta,manicmuse,8.0,7.0,10,7.0,8.0
8,Cheese in the Trap,manicmuse,5.0,5.0,8.0,7.0,5.0
9,Thirty But Seventeen,manicmuse,9.5,9.5,10,9.0,10
10,My Mister,manicmuse,9.5,10,10,9.0,9.0
11,Fight For My Way,manicmuse,8.0,7.0,9.0,8.0,7.0
12,Empress Ki,manicmuse,10,9.5,10,9.0,10
13,Pinocchio,manicmuse,10,10,10,8.0,9.5
14,No Mercy,manicmuse,9.0,10,9.0,8.0,8.0
0,Shining Inheritance,manicmuse,7.0,9.0,10,6.0,7.0
1,Healer,manicmuse,10,9.0,10,8.5,10
2,Sungkyunkwan Scandal,manicmuse,9.0,9.0,10,8.0,10
3,Marriage Contract,manicmuse,7.0,6.0,9.5,5.0,6.0
4,Nine: Nine Times Time Travel,manicmuse,8.0,10,7.0,7.0,9.0
5,Big,manicmuse,2.0,1.0,4.0,6.0,1.0
6,Bride of the Century,manicmuse,6.0,6.0,9.0,7.0,5.0
7,Memories of the Alhambra,manicmuse,8.5,9.0,8.0,8.0,8.0
8,The Crowned Clown,manicmuse,8.5,9.0,10,8.0,7.5
9,Black,manicmuse,8.0,9.0,8.0,7.0,10
10,Shopping King Louie,manicmuse,8.0,6.0,9.5,8.0,7.0
11,Uncontrollably Fond,manicmuse,7.0,6.0,9.0,7.0,6.0
12,Doctors,manicmuse,6.5,5.0,8.0,7.0,5.0
13,A Beautiful Mind,manicmuse,7.5,7.0,9.0,7.0,6.0
14,Heart to Heart,manicmuse,9.5,9.0,9.5,8.0,10
0,Missing You,manicmuse,6.0,6.0,9.0,6.0,3.0
1,Beautiful Gong Shim,manicmuse,5.0,4.0,7.0,8.0,3.0
2,Crash Landing on You,manicmuse,8.0,8.0,9.5,7.0,7.5
3,While You Were Sleeping,manicmuse,7.5,9.0,7.5,7.5,7.0
4,Something About 1 Percent,manicmuse,7.5,7.0,8.0,7.5,7.5
5,"Please Come Back, Mister",manicmuse,6.5,8.0,6.0,9.0,7.0
6,Flower Boy Next Door,manicmuse,5.0,3.0,7.0,6.0,4.0
7,Extracurricular,manicmuse,9.5,9.5,10,8.0,9.0
8,The Tale of Nokdu,manicmuse,10,10,10,9.0,9.5
9,Love in the Moonlight,manicmuse,8.5,9.0,10,8.0,8.0
10,It's Okay to Not Be Okay,manicmuse,10,10,10,9.5,10
11,Go Back Couple,manicmuse,8.5,8.0,9.0,8.0,8.0
12,Ho Goo's Love,manicmuse,8.5,8.5,9.0,7.0,8.0
13,My Princess,manicmuse,7.0,6.0,8.0,6.0,7.0
14,Old Boy,manicmuse,7.0,8.0,9.0,8.0,8.0
0,"It's Okay, That's Love",manicmuse,9.5,9.0,10,9.0,10
1,Madame Antoine,manicmuse,7.0,6.0,9.0,7.5,7.0
2,Silenced,manicmuse,9.0,9.0,10,9.0,8.0
3,She Was Pretty,manicmuse,7.5,6.0,9.0,8.0,5.0
4,You Who Came from the Stars,manicmuse,8.5,8.5,9.0,7.0,7.0
5,The Princess's Man,manicmuse,10,10,10,9.0,9.0
6,Chicago Typewriter,manicmuse,10,10,9.5,10,10
7,My Holo Love,manicmuse,9.0,9.5,10,7.5,9.0
8,Hotel del Luna,manicmuse,9.0,9.0,10,8.0,8.0
9,Devilish Joy,manicmuse,7.0,5.0,9.0,7.5,6.0
10,My ID Is Gangnam Beauty,manicmuse,7.0,7.5,7.5,7.0,6.0
11,Birth of a Beauty,manicmuse,6.5,5.0,9.0,7.0,4.0
12,Defendant,manicmuse,8.5,8.0,10,8.0,8.0
13,Let's Eat 2,manicmuse,7.5,7.0,9.0,7.0,5.0
14,Queen of Ambition,manicmuse,9.5,10,9.5,8.0,9.0
0,Can You Hear My Heart,manicmuse,9.0,9.0,9.0,10,10
1,Goong,manicmuse,7.0,7.0,8.0,5.0,5.0
2,Reply 1997,manicmuse,9.0,9.0,10,7.0,7.0
3,Oh My Ghostess,manicmuse,9.5,9.0,10,8.0,9.5
4,My Girl,manicmuse,5.0,7.0,7.0,4.0,4.0
5,W,manicmuse,8.0,9.5,8.0,7.0,8.0
6,Melting Me Softly,manicmuse,4.0,2.0,6.0,5.0,1.5
7,The Innocent Man,manicmuse,8.0,8.0,10,7.0,7.0
8,Lie to Me,manicmuse,6.0,5.0,8.0,8.0,4.0
9,Queen In Hyun's Man,manicmuse,7.0,8.0,8.0,7.0,7.0
10,Rooftop Prince,manicmuse,9.0,8.0,10,10,10
11,Doctor John,manicmuse,9.0,9.0,9.5,8.0,7.5
12,Witch's Court,manicmuse,7.5,7.0,8.0,7.0,6.0
13,Emergency Couple,manicmuse,8.0,6.0,9.0,7.0,8.0
14,Time,manicmuse,5.5,6.0,6.0,5.0,4.0
0,White: The Melody of the Curse,manicmuse,2.0,2.0,6.0,6.0,1.0
1,Love Rain,manicmuse,7.0,7.0,8.0,7.0,7.0
2,Angel's Last Mission: Love,manicmuse,7.5,7.0,9.0,8.0,6.5
3,I Hear Your Voice,manicmuse,8.5,8.0,9.0,5.0,9.0
4,Cain and Abel,manicmuse,7.0,7.0,8.0,9.0,5.0
5,Personal Taste,manicmuse,9.0,9.0,9.0,10,9.0
6,Secret Love Affair,manicmuse,5.5,5.0,7.0,6.0,4.5
7,Suspicious Partner,manicmuse,9.0,8.0,10,9.0,10
8,Mary Stayed Out All Night,manicmuse,2.5,1.0,6.0,6.0,1.0
9,Signal,manicmuse,9.5,9.5,10,8.0,10
10,Protect the Boss,manicmuse,8.0,7.0,9.0,7.0,8.0
11,"Delightful Girl, Choon Hyang",manicmuse,5.0,5.0,7.0,7.0,4.0
12,My Girlfriend Is a Gumiho,manicmuse,9.0,9.0,9.0,9.0,9.0
13,Hit-and-Run Squad,manicmuse,7.0,6.0,9.0,5.0,5.0
14,Train to Busan,manicmuse,9.0,8.0,9.0,6.0,9.0
0,Mask,manicmuse,8.0,8.5,9.0,7.0,6.0
1,49 Days,manicmuse,6.0,9.0,9.0,7.0,3.0
2,Myung Wol the Spy,manicmuse,8.0,7.0,8.5,7.0,8.5
3,My Strange Hero,manicmuse,7.5,7.0,10,7.0,6.0
4,Grand Prince,manicmuse,7.0,7.0,8.0,7.5,6.0
5,Circle,manicmuse,9.0,9.0,9.0,8.0,9.0
6,The Girl Who Sees Scents,manicmuse,7.5,7.0,9.0,8.0,7.0
7,Arang and the Magistrate,manicmuse,8.5,8.0,10,10,8.0
8,Liar Game,manicmuse,8.0,7.5,9.0,7.0,8.0
9,The Dude In Me,manicmuse,4.0,2.0,6.0,5.0,2.0
10,Hide and Seek,manicmuse,3.0,3.0,4.0,4.0,1.0
11,To The Beautiful You,manicmuse,6.0,4.0,6.0,6.0,5.0
12,Love with Flaws,manicmuse,4.0,3.0,5.0,5.0,2.0
13,Full House ,manicmuse,7.0,6.0,8.0,8.0,8.0
14,City Hunter,manicmuse,9.0,10,9.0,6.0,8.0
0,Moon Lovers: Scarlet Heart Ryeo,manicmuse,7.5,7.0,9.0,8.0,7.0
1,Parasite,manicmuse,10,9.5,10,10,10
2,What's Wrong with Secretary Kim,manicmuse,9.5,9.5,10,9.0,10
3,Falling for Innocence,manicmuse,7.5,7.5,8.0,7.0,6.5
4,Blood,manicmuse,6.0,5.0,7.0,5.0,2.0
5,Weightlifting Fairy Kim Bok Joo,manicmuse,9.0,8.0,9.5,7.0,9.0
6,"Kill Me, Heal Me",manicmuse,9.5,10,10,9.5,9.0
7,Mother,manicmuse,10,10,10,9.0,10
8,The Game: Towards Zero,manicmuse,7.0,8.0,7.5,6.0,7.0
9,Familiar Wife,manicmuse,9.0,8.0,10,7.0,10
10,100 Days My Prince,manicmuse,8.5,8.0,9.5,8.0,7.5
11,Witch's Love,manicmuse,6.0,6.0,8.0,6.0,4.0
12,Let's Eat,manicmuse,7.5,6.0,9.0,7.0,6.0
13,Splash Splash LOVE,manicmuse,8.0,8.0,8.0,8.0,8.0
14,Secret,manicmuse,5.0,5.0,7.0,6.0,3.0
0,Are You Human Too?,manicmuse,9.0,9.0,10,8.0,9.0
1,Playful Kiss,manicmuse,7.0,7.0,8.0,6.0,5.0
2,One Spring Night,manicmuse,8.0,7.5,10,7.5,7.5
3,I Wanna Hear Your Song,manicmuse,7.0,6.5,8.5,6.0,6.0
4,The Heirs,manicmuse,4.0,3.0,6.0,5.0,2.0
5,Her Private Life,manicmuse,7.5,7.0,9.0,6.0,7.5
6,Wednesday 3:30 PM,manicmuse,8.0,7.0,8.0,8.0,9.0
7,Go Ho's Starry Night,manicmuse,7.0,6.0,7.5,7.5,7.0
8,The Happy Loner,manicmuse,7.0,7.0,8.0,7.0,7.0
9,Beyond the Clouds,manicmuse,7.5,7.0,9.0,6.0,7.0
10,The Village: Achiara's Secret,manicmuse,6.0,7.0,7.0,5.0,6.0
11,Witch's Romance,manicmuse,7.0,7.0,8.0,8.0,6.0
12,Prosecutor Princess,manicmuse,4.0,7.0,5.0,3.0,4.0
13,Something in the Rain,manicmuse,7.0,6.0,8.0,7.0,6.0
14,One Million Stars Falling from the Sky,manicmuse,7.5,8.0,7.0,7.0,7.0
0,Ms. Perfect,manicmuse,2.0,3.0,4.0,5.0,2.0
0,Ms. Perfect,manicmuse,2.0,3.0,4.0,5.0,2.0
